Tournament,Category,Pool,Name,Nationality,Kata,TEC1,TEC2,TEC3,TEC4,TEC5,TEC6,TEC7,ATH1,ATH2,ATH3,ATH4,ATH5,ATH6,ATH7,Score
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,ZERVOU NIKOLETA ,GRE,002 Anan Dai,7.6,7.6,7.4,8.0,7.8,7.6,7.8,7.6,7.8,7.6,7.6,7.8,7.4,8.0,23.0
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,KWONG JESSICA,USA,001 Anan,7.8,7.8,7.8,8.6,8.0,8.0,8.0,8.0,8.0,7.4,8.4,8.0,8.0,8.2,23.86
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,WEVER DENISE,GUA,068 Papuren,7.0,7.2,7.0,8.2,7.8,7.8,7.4,6.8,7.4,6.6,7.6,7.6,7.8,7.2,22.34
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,PEÑA CARDENAS CATALINA,CHI,068 Papuren,6.6,7.0,6.2,7.6,7.4,7.6,7.0,7.0,7.0,6.0,7.8,7.4,7.4,7.2,21.46
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,SCHOPCHAKI THAINAN,BRA,068 Papuren,6.4,7.4,6.4,7.8,7.4,7.6,6.6,6.4,7.4,6.4,7.6,7.4,7.6,6.8,21.46
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,BAILLARGEON MELISSA,CAN,001 Anan,7.6,6.8,7.2,8.2,7.4,7.6,7.6,8.0,7.2,7.6,8.0,7.4,7.4,7.8,22.66
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,PULIDO SULBARAN ANGIE,CHI,067 Paiku,6.4,6.8,6.4,7.8,7.2,7.6,6.8,6.0,6.8,5.8,7.6,7.2,7.8,7.0,20.86
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,SCORDO SANDY,FRA,020 Gojushiho Dai,8.0,8.4,8.4,8.6,8.2,7.8,8.0,8.2,8.4,8.4,8.2,8.2,8.0,8.2,24.6
Karate1 Series A - Santiago 2020,Female Kata, 1 / 4,BOTTARO VIVIANA,ITA,009 Chibana No Kushanku,8.4,8.8,8.8,8.6,8.0,8.2,8.4,8.4,8.8,8.4,8.2,8.0,8.2,8.4,25.28
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,MANTY BESS,FIN,001 Anan,7.2,8.2,6.8,6.8,7.4,7.8,7.0,7.4,8.0,7.0,6.6,7.6,8.0,7.4,21.84
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,SCHOPCHAKI THAWANNA,BRA,068 Papuren,7.6,8.0,6.6,7.0,7.8,7.8,6.4,7.6,7.8,6.8,6.4,7.8,7.6,6.6,22.28
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,DE LA PAZ CAROL,CHI,002 Anan Dai,7.4,7.8,6.4,7.2,7.4,7.6,6.2,7.2,8.0,6.6,7.0,7.2,7.4,6.0,21.82
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,ROMANI SOL MARIA,PER,020 Gojushiho Dai,8.0,8.4,7.8,7.8,7.4,8.4,7.4,8.0,8.2,8.0,7.8,7.4,8.2,7.2,23.66
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,KOKUMAI SAKURA,USA,047 Kururunfa,8.8,8.8,8.2,8.2,8.0,8.6,8.2,8.8,8.4,8.4,8.0,7.8,8.4,8.2,25.0
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,YILMAZ AYSE,TUR,068 Papuren,8.2,8.4,7.8,8.2,7.8,8.0,7.6,8.4,8.2,8.0,7.8,7.8,8.2,7.4,24.0
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,EN-NESYRY AYA,MAR,015 Gankaku,7.8,8.4,8.0,8.0,7.8,8.4,7.8,8.2,8.0,8.2,7.6,8.0,8.6,7.6,23.92
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,SAYED SARAH,EGY,002 Anan Dai,8.0,8.4,7.6,7.8,7.8,7.8,7.6,7.8,8.2,7.4,7.4,7.6,7.6,7.8,23.28
Karate1 Series A - Santiago 2020,Female Kata, 2 / 4,CALDERON OSORIO CAMILA,CHI,068 Papuren,6.8,8.0,6.4,6.8,6.8,7.6,7.0,6.8,7.8,6.6,6.2,7.0,7.4,6.6,20.54
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,LE BORGNE MARINE,FRA,008 Chatanyara Kushanku,7.0,7.4,7.2,7.6,6.8,7.4,7.4,7.2,7.6,7.2,7.4,6.6,7.2,7.2,21.88
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,QUIROZ CASTILLO YANETH,MEX,009 Chibana No Kushanku,6.8,7.2,7.4,8.0,7.0,7.4,7.2,7.0,7.4,7.0,7.8,6.6,7.0,7.0,21.56
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,ALMARZA ROSA,PER,099 Unsu,6.6,7.0,7.6,8.6,7.4,7.6,7.8,6.8,7.2,7.4,8.2,6.8,7.2,7.6,22.36
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,DHIMAN DEEPIKA,IND,019 Gojushiho,6.4,7.2,6.8,7.8,6.4,6.6,6.8,6.6,7.4,6.8,7.4,6.6,6.6,6.6,20.14
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,FUENTES QUEVEDO MORIN FABIOLA,CHI,015 Gankaku,6.6,7.4,7.8,8.2,7.8,7.6,7.0,7.0,7.6,7.8,7.8,8.0,7.6,6.8,22.86
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,ALBERTE ANANDA,VEN,048 Kusanku,6.8,7.4,7.8,8.4,7.6,7.2,7.6,7.0,7.2,7.4,8.2,7.8,6.6,7.4,22.42
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,MOTA NICOLE,BRA,068 Papuren,7.6,7.6,7.8,8.6,8.2,8.2,8.0,7.2,8.0,7.6,8.4,8.0,8.0,7.8,23.94
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,GALTUNG IRENE,NOR,020 Gojushiho Dai,6.8,6.2,6.6,8.0,6.6,6.8,6.6,6.6,6.4,6.4,7.8,6.4,6.6,6.6,19.88
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,REYES FRANCISCA,CHI,021 Gojushiho Sho,6.2,6.0,6.2,7.6,6.2,6.2,6.2,6.6,6.2,6.2,7.2,6.2,6.2,6.0,18.6
Karate1 Series A - Santiago 2020,Female Kata, 3 / 4,DUNN GABRIELLE,USA,068 Papuren,6.4,7.2,7.0,8.2,7.4,7.6,7.4,6.8,7.4,6.8,7.6,7.0,7.0,7.4,21.82
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,THIHARA BEATRIZ,BRA,099 Unsu,7.4,8.0,7.6,7.8,7.4,7.4,8.0,7.6,8.0,7.8,7.6,7.2,7.4,7.8,22.86
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,TAILY HELVETIA,FRA,021 Gojushiho Sho,7.8,8.2,7.8,8.0,7.2,7.6,8.4,8.0,8.2,8.0,8.2,7.4,7.6,8.4,23.78
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,SALCEDO HERMOZA SAIDA KARLEN,PER,099 Unsu,7.0,7.8,7.6,7.8,6.6,7.8,8.6,7.2,7.8,7.8,7.4,6.8,7.8,8.2,23.14
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,DELGADO MUÑOZ ALANIS,CHI,020 Gojushiho Dai,6.2,7.2,6.8,6.6,6.4,7.6,7.6,6.2,7.2,7.0,6.6,6.4,7.4,7.4,20.66
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,ELTEMUR DILARA,TUR,002 Anan Dai,8.4,8.0,8.0,8.4,7.8,7.8,8.8,8.6,8.2,8.2,8.2,7.4,7.8,8.6,24.46
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,STALLINGS SARAH,USA,001 Anan,6.8,7.4,7.2,7.6,7.0,8.0,8.4,6.8,7.4,7.4,7.6,7.2,8.2,8.0,22.26
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,GAROFOLI SOFIA,ITA,068 Papuren,6.8,7.6,7.6,7.8,7.0,7.6,8.4,7.2,7.4,7.4,7.2,7.0,7.2,8.4,22.5
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,BARRIENTOS GORIGOITIA TAMARA,CHI,020 Gojushiho Dai,6.6,7.4,7.2,7.0,6.6,7.2,7.8,6.6,7.2,7.4,6.8,6.8,7.2,7.6,21.34
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,AGALMAM SANAE,MAR,099 Unsu,7.8,8.4,7.8,8.2,7.8,8.0,8.8,8.2,8.2,8.0,8.4,7.6,8.0,8.6,24.12
Karate1 Series A - Santiago 2020,Female Kata, 4 / 4,XENOU GEORGIA ARCHONTIA,GRE,002 Anan Dai,7.8,8.2,8.0,8.2,7.2,8.2,8.2,8.0,8.0,7.8,8.2,7.4,8.2,8.0,24.28
Karate1 Series A - Santiago 2020,Female Kata R2-G1, 1 / 1,KWONG JESSICA,USA,002 Anan Dai,8.6,8.2,8.0,8.2,8.0,8.2,7.8,8.2,8.2,8.0,7.8,8.0,8.0,8.0,24.28
Karate1 Series A - Santiago 2020,Female Kata R2-G1, 1 / 1,BOTTARO VIVIANA,ITA,092 Suparinpei,8.6,8.6,8.2,8.6,8.4,8.4,8.8,8.2,8.6,8.2,8.4,8.2,8.2,8.8,25.36
Karate1 Series A - Santiago 2020,Female Kata R2-G1, 1 / 1,EN-NESYRY AYA,MAR,099 Unsu,8.2,7.0,8.2,8.2,7.4,7.6,8.0,8.0,7.4,8.0,8.4,7.6,7.8,7.8,23.74
Karate1 Series A - Santiago 2020,Female Kata R2-G1, 1 / 1,ZERVOU NIKOLETA ,GRE,068 Papuren,8.2,7.6,8.0,8.0,7.6,8.0,8.2,8.2,7.6,7.8,7.8,7.8,7.8,7.8,23.82
Karate1 Series A - Santiago 2020,Female Kata R2-G1, 1 / 1,KOKUMAI SAKURA,USA,009 Chibana No Kushanku,8.4,8.2,8.2,8.8,7.6,8.0,8.4,8.2,8.0,8.0,8.4,7.8,8.2,8.2,24.68
Karate1 Series A - Santiago 2020,Female Kata R2-G1, 1 / 1,SCORDO SANDY,FRA,078 Sansai,8.2,7.4,7.8,8.0,7.4,7.8,7.6,8.2,7.2,7.8,7.6,7.4,8.2,7.8,23.2
Karate1 Series A - Santiago 2020,Female Kata R2-G1, 1 / 1,YILMAZ AYSE,TUR,001 Anan,8.2,7.4,8.0,8.0,7.6,8.2,8.4,7.8,7.4,7.8,7.6,7.6,8.2,8.0,23.9
Karate1 Series A - Santiago 2020,Female Kata R2-G1, 1 / 1,ROMANI SOL MARIA,PER,099 Unsu,8.4,7.8,7.8,8.2,7.2,7.4,7.8,8.2,7.8,8.0,7.8,7.2,7.6,8.0,23.46
Karate1 Series A - Santiago 2020,Female Kata R2-G2, 1 / 1,MOTA NICOLE,BRA,008 Chatanyara Kushanku,8.2,8.4,8.2,7.6,7.8,7.8,7.8,8.2,8.4,8.0,7.8,7.8,8.0,8.0,23.86
Karate1 Series A - Santiago 2020,Female Kata R2-G2, 1 / 1,ELTEMUR DILARA,TUR,068 Papuren,8.0,8.8,8.4,8.0,8.0,8.2,8.4,8.4,8.6,8.2,8.2,8.0,8.4,8.4,24.72
Karate1 Series A - Santiago 2020,Female Kata R2-G2, 1 / 1,XENOU GEORGIA ARCHONTIA,GRE,068 Papuren,7.8,7.6,8.2,8.4,7.6,8.2,7.4,7.8,8.0,8.2,8.4,7.6,8.0,7.4,23.66
Karate1 Series A - Santiago 2020,Female Kata R2-G2, 1 / 1,ALMARZA ROSA,PER,020 Gojushiho Dai,8.0,8.6,8.0,7.6,7.4,7.8,8.0,7.6,8.4,7.8,7.6,7.2,8.0,8.2,23.68
Karate1 Series A - Santiago 2020,Female Kata R2-G2, 1 / 1,TAILY HELVETIA,FRA,015 Gankaku,7.6,8.4,7.8,7.8,7.8,7.8,7.6,7.4,8.2,7.8,7.8,7.6,8.0,7.8,23.4
Karate1 Series A - Santiago 2020,Female Kata R2-G2, 1 / 1,AGALMAM SANAE,MAR,041 Kanku Sho,8.4,9.0,8.0,8.2,8.0,8.0,8.6,8.0,8.8,8.4,8.0,8.0,8.2,8.8,24.6
Karate1 Series A - Santiago 2020,Female Kata R2-G2, 1 / 1,FUENTES QUEVEDO MORIN FABIOLA,CHI,020 Gojushiho Dai,7.6,8.2,7.6,7.2,7.8,8.0,7.2,7.8,7.8,7.6,7.4,8.0,7.8,7.4,23.06
Karate1 Series A - Santiago 2020,Female Kata R2-G2, 1 / 1,ALBERTE ANANDA,VEN,092 Suparinpei,7.4,8.4,8.0,8.0,7.4,7.8,7.4,7.2,8.2,7.8,8.0,7.4,8.0,7.4,23.2
Karate1 Series A - Santiago 2020,Female Kata R3-G1, 1 / 1,KWONG JESSICA,USA,092 Suparinpei,8.2,8.0,8.0,8.0,8.0,8.4,8.2,8.2,7.4,8.0,8.0,7.8,8.2,8.0,24.14
Karate1 Series A - Santiago 2020,Female Kata R3-G1, 1 / 1,KOKUMAI SAKURA,USA,092 Suparinpei,8.0,8.2,8.4,8.4,8.2,8.4,8.6,8.0,7.8,8.4,8.4,8.0,8.4,8.4,24.94
Karate1 Series A - Santiago 2020,Female Kata R3-G1, 1 / 1,YILMAZ AYSE,TUR,002 Anan Dai,7.8,8.2,7.8,8.2,8.2,8.2,8.2,8.0,8.0,7.8,8.2,8.4,8.2,8.2,24.54
Karate1 Series A - Santiago 2020,Female Kata R3-G1, 1 / 1,BOTTARO VIVIANA,ITA,068 Papuren,8.4,8.6,8.8,8.8,8.6,8.8,8.6,8.4,8.8,8.8,8.8,8.8,8.6,8.2,26.06
Karate1 Series A - Santiago 2020,Female Kata R3-G2, 1 / 1,AGALMAM SANAE,MAR,015 Gankaku,8.2,8.2,8.0,8.0,8.0,8.2,8.2,8.4,7.8,8.2,7.8,8.2,8.2,8.0,24.4
Karate1 Series A - Santiago 2020,Female Kata R3-G2, 1 / 1,MOTA NICOLE,BRA,067 Paiku,7.8,7.8,8.0,8.2,8.0,8.4,7.8,8.0,7.4,8.2,8.0,8.0,8.4,7.8,23.86
Karate1 Series A - Santiago 2020,Female Kata R3-G2, 1 / 1,ELTEMUR DILARA,TUR,008 Chatanyara Kushanku,8.6,8.6,8.2,8.4,8.4,8.6,8.0,8.8,7.8,8.4,8.6,8.2,8.4,8.2,25.28
Karate1 Series A - Santiago 2020,Female Kata R3-G2, 1 / 1,ALMARZA ROSA,PER,041 Kanku Sho,8.2,8.0,7.8,8.6,7.8,8.8,7.8,8.2,7.6,8.0,7.8,8.0,8.6,8.0,24.0
Karate1 Series A - Santiago 2020,Female Kata R4 Bronze Medal Match 1, 1 / 1,KOKUMAI SAKURA,USA,068 Papuren,8.8,8.4,8.4,8.4,8.0,8.0,8.4,8.6,8.4,8.4,8.2,8.4,8.2,8.6,25.2
Karate1 Series A - Santiago 2020,Female Kata R4 Bronze Medal Match 1, 1 / 1,ALMARZA ROSA,PER,092 Suparinpei,8.2,8.0,7.4,7.8,7.8,7.4,8.2,8.0,8.0,7.4,7.6,8.0,7.6,8.4,23.6
Karate1 Series A - Santiago 2020,Female Kata R4 Bronze Medal Match 2, 1 / 1,YILMAZ AYSE,TUR,064 Ohan Dai,8.6,8.4,8.0,7.8,7.8,8.4,8.6,8.4,8.2,8.0,7.6,8.0,8.6,8.4,24.74
Karate1 Series A - Santiago 2020,Female Kata R4 Bronze Medal Match 2, 1 / 1,AGALMAM SANAE,MAR,021 Gojushiho Sho,8.8,7.8,8.4,7.8,8.2,8.2,8.8,8.6,8.0,8.4,7.8,8.4,8.4,9.0,24.92
Karate1 Series A - Santiago 2020,Female Kata R4 Gold Medal Match, 1 / 1,BOTTARO VIVIANA,ITA,008 Chatanyara Kushanku,8.4,8.8,8.4,8.2,8.6,7.8,9.2,8.4,8.6,8.6,8.2,8.4,7.8,9.2,25.4
Karate1 Series A - Santiago 2020,Female Kata R4 Gold Medal Match, 1 / 1,ELTEMUR DILARA,TUR,009 Chibana No Kushanku,8.0,8.4,8.0,7.8,8.2,8.2,9.4,8.6,8.6,8.2,8.0,8.2,8.0,9.4,24.58
Karate1 Series A - Santiago 2020,Male Kata, 1 / 8,SHAWKY AHMED,EGY,021 Gojushiho Sho,7.8,7.8,8.2,7.4,7.6,8.0,7.0,7.8,8.0,8.4,7.6,7.8,8.0,7.2,23.32
Karate1 Series A - Santiago 2020,Male Kata, 1 / 8,WILKES DOMINIC,TTO,099 Unsu,6.8,6.8,6.6,6.0,7.2,7.6,6.8,6.8,7.0,6.8,5.8,7.4,7.6,7.0,20.52
Karate1 Series A - Santiago 2020,Male Kata, 1 / 8,HOSHI ISAAC,NZL,001 Anan,7.4,7.6,8.4,7.2,7.8,8.0,7.2,7.6,7.6,8.0,7.4,7.8,8.0,7.2,22.86
Karate1 Series A - Santiago 2020,Male Kata, 1 / 8,MADRIGAL ACOSTA DARIKSON ENIEL,CHI,078 Sansai,6.6,7.0,7.0,5.4,6.6,7.4,6.6,6.4,7.0,6.8,5.4,6.8,7.4,6.8,20.26
Karate1 Series A - Santiago 2020,Male Kata, 1 / 8,DE BAEREMAECKER MARTIN,URU,021 Gojushiho Sho,7.0,7.8,7.8,7.0,8.0,7.6,6.8,7.0,7.8,7.4,6.8,8.2,7.6,6.8,22.28
Karate1 Series A - Santiago 2020,Male Kata, 1 / 8,MATOS SOARES IZAAC,BRA,020 Gojushiho Dai,6.4,6.8,7.2,6.2,6.6,7.6,7.0,6.4,7.2,7.0,5.8,7.0,7.6,6.8,20.52
Karate1 Series A - Santiago 2020,Male Kata, 1 / 8,DIAZ ANTONIO,VEN,061 Nipaipo,8.4,8.6,8.6,8.0,8.4,8.2,7.4,8.2,8.8,8.2,7.8,8.2,8.2,7.4,24.88
Karate1 Series A - Santiago 2020,Male Kata, 2 / 8,GUILLEN JUNIOR,CHI,099 Unsu,8.0,7.6,8.0,7.2,7.2,7.0,7.0,8.2,7.8,8.2,7.4,7.4,7.0,7.2,22.18
Karate1 Series A - Santiago 2020,Male Kata, 2 / 8,DU PLESSIS MICHAEL,RSA,002 Anan Dai,7.2,6.6,7.4,7.2,6.8,6.6,7.2,7.4,6.6,7.0,7.0,6.8,6.6,7.2,21.08
Karate1 Series A - Santiago 2020,Male Kata, 2 / 8,TREBEJO JHON,PER,099 Unsu,7.4,7.4,7.6,7.6,6.4,6.8,7.4,7.2,7.4,7.6,7.4,6.6,7.0,7.4,22.14
Karate1 Series A - Santiago 2020,Male Kata, 2 / 8,HUSSAIN MOHAMMAD,KUW,021 Gojushiho Sho,8.2,8.0,7.8,7.4,7.2,7.0,7.4,8.4,8.2,8.0,7.6,7.4,7.4,7.4,22.72
Karate1 Series A - Santiago 2020,Male Kata, 2 / 8,MONTARELLO ENZO,FRA,021 Gojushiho Sho,8.4,8.4,8.2,7.6,7.6,7.8,7.6,8.6,8.4,8.2,7.8,7.8,7.6,7.4,23.66
Karate1 Series A - Santiago 2020,Male Kata, 2 / 8,SOFUOGLU ALI,TUR,020 Gojushiho Dai,9.0,8.8,8.4,7.8,8.2,8.6,7.8,9.2,8.8,8.0,7.6,8.4,8.6,7.6,25.14
Karate1 Series A - Santiago 2020,Male Kata, 3 / 8,TOZAKI GAKUJI,USA,092 Suparinpei,7.8,8.0,8.0,8.0,8.2,7.0,8.0,7.8,8.0,7.8,7.8,8.4,6.8,8.0,23.88
Karate1 Series A - Santiago 2020,Male Kata, 3 / 8,GOKTAS EMRE VEFA,TUR,041 Kanku Sho,8.4,8.6,8.4,7.8,8.2,7.4,8.2,8.2,8.2,8.2,7.6,8.6,7.4,8.2,24.74
Karate1 Series A - Santiago 2020,Male Kata, 3 / 8,DACK VU DUC MINH,NCL,001 Anan,7.6,7.8,7.6,7.2,7.6,6.8,7.8,7.8,7.6,7.6,7.4,7.8,6.8,7.8,22.86
Karate1 Series A - Santiago 2020,Male Kata, 3 / 8,LEMUS JAIME DIDIER FRANCO,CHI,020 Gojushiho Dai,7.0,7.2,6.8,7.0,6.6,6.6,7.4,6.8,7.0,6.6,7.2,6.6,6.4,7.2,20.68
Karate1 Series A - Santiago 2020,Male Kata, 3 / 8,SOUZA WILLIAMES,BRA,020 Gojushiho Dai,7.4,7.8,7.6,7.4,6.4,7.2,7.6,7.2,7.2,7.4,7.4,6.6,7.2,7.4,22.22
Karate1 Series A - Santiago 2020,Male Kata, 3 / 8,SZAFRANEK JORDAN,SCO,064 Ohan Dai,8.0,7.8,7.4,6.8,6.0,6.8,6.8,7.6,7.4,7.2,6.8,6.4,6.4,6.8,20.94
Karate1 Series A - Santiago 2020,Male Kata, 3 / 8,BUSATO MATTIA,ITA,021 Gojushiho Sho,8.2,8.4,8.0,7.6,6.8,7.4,7.8,8.0,8.8,7.8,7.8,8.0,7.2,8.0,23.52
Karate1 Series A - Santiago 2020,Male Kata, 4 / 8,MIURA GONZALO,PER,099 Unsu,6.8,6.8,6.8,7.8,7.6,7.2,7.0,6.6,7.2,6.6,7.6,7.6,7.2,7.2,21.18
Karate1 Series A - Santiago 2020,Male Kata, 4 / 8,IMPAGNATIELLO LUCA MATEO,ARG,078 Sansai,7.4,7.2,7.8,8.6,7.8,7.6,7.2,7.2,7.6,7.6,8.4,7.8,7.8,7.4,22.86
Karate1 Series A - Santiago 2020,Male Kata, 4 / 8,AROS RAMIREZ LUIS,CHI,012 Enpi,7.0,7.4,8.2,7.6,7.4,7.6,7.6,7.2,7.8,8.0,6.8,7.2,7.6,7.4,22.48
Karate1 Series A - Santiago 2020,Male Kata, 4 / 8,ELHAKIMI ADNANE,MAR,021 Gojushiho Sho,8.0,7.8,8.4,8.6,8.0,8.0,7.8,7.8,8.0,8.2,8.2,7.8,8.0,8.0,24.0
Karate1 Series A - Santiago 2020,Male Kata, 4 / 8,VAZQUEZ ROBERTO,PUR,008 Chatanyara Kushanku,6.6,7.2,7.2,7.8,7.2,6.6,6.2,6.6,7.4,7.0,7.8,7.0,6.6,6.4,20.88
Karate1 Series A - Santiago 2020,Male Kata, 4 / 8,RETAMAL JUAN,CHI,041 Kanku Sho,6.6,6.4,6.4,7.2,6.8,6.4,6.0,6.4,6.8,6.0,6.8,7.0,6.2,6.2,19.4
Karate1 Series A - Santiago 2020,Male Kata, 5 / 8,DEL CASTILLO OLIVER,PER,098 Unshu,6.6,6.6,7.4,7.4,7.0,7.0,6.8,6.6,6.8,7.2,7.4,6.8,6.8,6.8,20.68
Karate1 Series A - Santiago 2020,Male Kata, 5 / 8,NUNKOO KIERAN,ENG,002 Anan Dai,7.2,6.8,7.8,7.2,6.6,7.0,7.4,7.2,7.4,7.6,6.8,6.4,7.2,7.2,21.46
Karate1 Series A - Santiago 2020,Male Kata, 5 / 8,GALARCA GABRIEL,BRA,002 Anan Dai,6.4,7.2,7.6,7.2,7.0,7.0,6.4,6.4,7.2,7.4,6.8,6.8,7.2,6.4,21.08
Karate1 Series A - Santiago 2020,Male Kata, 5 / 8,SEGOVIA YOSHIRO,CHI,021 Gojushiho Sho,6.0,6.4,7.0,6.6,6.4,6.8,6.8,6.0,6.6,6.8,6.4,6.4,6.6,6.6,19.74
Karate1 Series A - Santiago 2020,Male Kata, 5 / 8,ALMOSAWI SAYED MOHAMMED,KUW,020 Gojushiho Dai,8.0,7.6,8.2,7.6,8.2,7.4,7.2,8.0,7.4,8.0,7.6,8.0,7.4,7.4,23.14
Karate1 Series A - Santiago 2020,Male Kata, 5 / 8,GUPTA ANIKET,IND,001 Anan,5.8,6.2,7.0,6.6,6.2,7.0,6.6,6.2,6.8,7.0,6.4,6.2,7.2,6.4,19.46
Karate1 Series A - Santiago 2020,Male Kata, 5 / 8,PEREDA ELORDUY XABIER,ESP,021 Gojushiho Sho,8.2,7.4,8.4,7.8,8.0,7.4,7.6,8.4,7.6,8.2,7.6,8.0,7.4,7.4,23.34
Karate1 Series A - Santiago 2020,Male Kata, 6 / 8,MARUANI JONATHAN,FRA,021 Gojushiho Sho,6.8,7.2,7.6,7.2,7.6,7.6,6.4,7.2,7.4,7.4,6.8,7.4,7.0,6.8,21.88
Karate1 Series A - Santiago 2020,Male Kata, 6 / 8,SWEETOW PAUL,USA,066 Pachu,6.2,6.4,7.4,6.0,6.4,7.0,6.0,6.0,6.6,7.2,6.0,6.4,6.6,6.0,19.0
Karate1 Series A - Santiago 2020,Male Kata, 6 / 8,ALQUINTA ANKAR,CHI,020 Gojushiho Dai,7.0,7.2,7.8,7.0,6.8,7.2,6.6,7.2,7.4,7.6,7.2,6.8,6.8,6.6,21.2
Karate1 Series A - Santiago 2020,Male Kata, 6 / 8,YALKABOV BAYRAM,TKM,021 Gojushiho Sho,5.8,7.0,6.4,6.2,6.4,6.6,6.0,6.0,6.8,6.4,6.2,6.4,6.2,6.2,18.94
Karate1 Series A - Santiago 2020,Male Kata, 6 / 8,VERGARA YAEGER RODOLFO,CHI,092 Suparinpei,7.0,7.8,8.2,6.8,7.0,7.4,7.0,7.2,7.8,8.0,7.0,6.8,6.6,7.0,21.34
Karate1 Series A - Santiago 2020,Male Kata, 6 / 8,TEJADA ANDRES,ECU,020 Gojushiho Dai,7.0,7.4,7.4,7.4,6.8,7.6,7.0,7.2,7.6,7.4,7.4,6.8,7.4,7.2,21.86
Karate1 Series A - Santiago 2020,Male Kata, 7 / 8,BONELI DENIS,BRA,021 Gojushiho Sho,5.8,5.4,6.8,6.0,5.8,7.0,5.8,5.6,5.2,6.6,6.0,5.4,7.0,5.8,17.54
Karate1 Series A - Santiago 2020,Male Kata, 7 / 8,NGOAN FRANCK,FRA,021 Gojushiho Sho,8.2,8.4,7.2,7.8,7.8,7.6,7.6,8.4,8.2,7.4,7.6,7.6,7.8,7.6,23.14
Karate1 Series A - Santiago 2020,Male Kata, 7 / 8,ALMOSAWI SAYED SALMAN,KUW,021 Gojushiho Sho,8.4,7.8,7.6,8.0,7.8,7.4,7.4,8.0,8.0,7.8,8.0,7.6,7.4,7.2,23.26
Karate1 Series A - Santiago 2020,Male Kata, 7 / 8,ALARCÓN MEGÍAS MANUEL,CHI,020 Gojushiho Dai,6.4,6.2,6.8,6.4,5.8,7.2,6.8,6.4,6.0,6.6,6.4,5.6,7.2,6.6,19.54
Karate1 Series A - Santiago 2020,Male Kata, 7 / 8,BOTTEN KENNETH,CHI,001 Anan,7.2,7.4,7.0,6.8,7.2,7.4,7.4,7.2,7.4,6.8,7.0,7.0,7.2,7.2,21.68
Karate1 Series A - Santiago 2020,Male Kata, 7 / 8,WONG ALFARO MARIANO FABRICIO ,PER,099 Unsu,7.4,7.6,8.0,7.6,7.2,7.4,7.4,7.6,7.6,7.8,8.0,7.2,7.4,7.0,22.46
Karate1 Series A - Santiago 2020,Male Kata, 7 / 8,TORRES GUTIERREZ ARIEL,USA,001 Anan,8.6,8.6,8.2,8.0,8.0,7.8,8.0,8.8,8.4,8.2,7.8,7.8,7.8,8.0,24.14
Karate1 Series A - Santiago 2020,Male Kata, 8 / 8,BUGUEÑO RODRIGO,CHI,012 Enpi,7.8,7.4,7.0,6.6,6.6,6.8,6.8,7.8,7.2,7.2,6.4,6.8,6.8,7.0,20.72
Karate1 Series A - Santiago 2020,Male Kata, 8 / 8,DE SOUZA ALLAN,BRA,021 Gojushiho Sho,8.0,7.6,6.8,6.8,6.8,6.8,7.4,7.8,7.6,6.6,6.8,6.8,6.6,7.6,21.06
Karate1 Series A - Santiago 2020,Male Kata, 8 / 8,OZDEMIR ENES,TUR,021 Gojushiho Sho,8.4,8.4,8.2,8.0,7.8,7.6,8.4,8.4,8.2,8.2,8.0,8.0,7.6,8.4,24.54
